id,task_id,file,line_start,line_end,severity,confidence,title,is_duplicate_of,verification_status,section
12,T01,docs/development/ARCHITECTURE.md,408,408,LOW,medium,docs/development/ARCHITECTURE.md describes v4.4.0+/v4.5.0+ features without mentioning v6.0.0 rebrand or per-project storage namespacing,,PASSED,architecture
13,T02,lib/storage.ts,188,209,LOW,high,Plaintext refresh & access tokens persisted with mode 0o600 only (no at-rest encryption),,PASSED,security
14,T02,lib/proactive-refresh.ts,200,215,LOW,high,Silent token loss â€” applyRefreshResult mutates in-memory account without persisting; disk write sits in 500 ms debounce window,,PASSED,security
15,T02,lib/accounts.ts,104,155,LOW,high,Codex CLI cross-process token injection via unsigned JSON with zero schema validation,,PASSED,security
16,T02,lib/auth/login-runner.ts,331,348,LOW,high,Account merge resurrects invalidated credentials via || fallback on refreshToken / accessToken,,PASSED,security
17,T02,lib/storage.ts,1335,1394,LOW,high,"importAccounts default backupMode: ""none"" silently overwrites existing account pool on any import",,PASSED,security
18,T02,lib/auth/auth.ts,115,130,LOW,medium,Unverified JWT signatures drive account-identity derivation â€” decoded payload fields trusted for accountId / organizationId,,PASSED,security
19,T02,lib/storage.ts,243,272,LOW,high,"ensureGitignore only runs when .git already exists â€” skips fresh clones, bare repos, and per-project configs without VCS marker",,PASSED,security
20,T02,lib/storage.ts,894,906,MEDIUM,high,fs.mkdir for account-storage directories does not apply mode: 0o700; parent dir inherits umask (often world-readable),96,PASSED,security
21,T02,lib/storage.ts,1231,1256,MEDIUM,high,readAndNormalizeImportFile uses JSON.parse + normalizeAccountStorage; no strict Zod enforcement on import payload,81,PASSED,security
22,T02,lib/auth/auth.ts,89,99,LOW,medium,OAuth token-endpoint error bodies pass through template-literal interpolation; opaque tokens bypass TOKEN_PATTERNS,,PASSED,security
23,T02,lib/auth/auth.ts,5,13,MEDIUM,high,REDIRECT_URI uses localhost literal while OAuth server binds 127.0.0.1; violates RFC 8252 Â§7.3 guidance,3,PASSED,security
24,T02,lib/auth/server.ts,38,77,LOW,high,OAuth callback server stores _lastCode on the HTTP server instance; never cleared after read,,PASSED,security
25,T02,lib/auth/server.ts,20,31,MEDIUM,high,Non-constant-time OAuth state compare exposes state-value verification via timing side channel,24,PASSED,security
26,T02,lib/auth/device-code.ts,119,139,LOW,medium,Device-code flow accepts server-supplied PKCE code_verifier â€” violates RFC 7636 intent,,PASSED,security
27,T02,lib/auth/login-runner.ts,56,71,MEDIUM,high,CODEX_AUTH_ACCOUNT_ID env override trusted verbatim with no character validation,,PASSED,security
28,T02,lib/auth/login-runner.ts,172,194,MEDIUM,high,persistResolvedAccountSelection wraps original error as cause â€” downstream consumers may log the full stack (token paths leaked),,PASSED,security
29,T02,lib/refresh-queue.ts,85,200,MEDIUM,high,tokenRotationMap keys are raw refresh_token strings stored in an unbounded in-process Map,,PASSED,security
30,T02,lib/refresh-queue.ts,254,279,MEDIUM,high,Refresh-queue stale eviction removes the pending entry but abandons the in-flight promise,,PASSED,security
31,T02,lib/accounts.ts,945,966,MEDIUM,high,saveToDiskDebounced swallows save errors; users never see persistent-state corruption,120,PASSED,security
32,T02,lib/auth-rate-limit.ts,26,127,MEDIUM,high,lib/auth-rate-limit.ts is fully implemented but never wired into the refresh path,303,PASSED,security
33,T02,lib/accounts.ts,880,896,MEDIUM,medium,removeAccountsWithSameRefreshToken identity compare is byte-exact; sibling variants with whitespace drift survive removal,49,PASSED,security
34,T02,lib/storage.ts,1303,1326,MEDIUM,high,exportAccounts default force = true silently overwrites any existing export file,17,PASSED,security
35,T02,lib/auth/login-runner.ts,670,690,LOW,medium,pruneRefreshTokenCollisions keys in-memory dedup Map with raw refresh-token strings,,PASSED,security
36,T02,lib/accounts.ts,728,745,MEDIUM,high,incrementAuthFailures keys by raw refreshToken; org variants sharing token collide but variant-specific context is lost,47,PASSED,security
37,T02,lib/logger.ts,29,34,MEDIUM,medium,logger.ts:TOKEN_PATTERNS misses OpenAI opaque base64url refresh-token format,151,PASSED,security
38,T02,lib/auth/device-code.ts,247,256,LOW,medium,device-code.ts passes rawJson object into logError on validation failure; code_verifier / authorization_code keys are not in SENSITIVE_KEYS,,PASSED,security
39,T02,lib/oauth-success.ts,1,10,LOW,medium,"oauth-success.ts CSP default-src 'self'; script-src 'none' blocks the inline preconnect to fonts.googleapis.com â€” page renders without fonts, indicating dead-markup policy drift",,PASSED,security
40,T02,lib/storage.ts,894,896,LOW,high,"Temp-file suffix uses Math.random() â€” non-cryptographic, ~23 bits of distinguishability",96,PASSED,security
41,T02,lib/storage/paths.ts,11,45,LOW,high,48-bit project-key hash truncation â€” collision probability non-trivial in heavy multi-worktree use,99,PASSED,security
42,T02,lib/storage.ts,1223,1228,LOW,high,Backup directory created without explicit mode: 0o700,81,PASSED,security
43,T02,lib/refresh-queue.ts,127,148,LOW,high,Refresh-queue logs tokenSuffix: refreshToken.slice(-6) â€” 6 characters is low-information but still enumerable,29,PASSED,security
44,T02,lib/storage/paths.ts,90,110,LOW,medium,resolvePath allowlist includes cwd and tmp â€” broad for a credential-file resolver,104,PASSED,security
45,T02,lib/storage.ts,140,153,LOW,medium,withStorageLock has no deadlock timeout; a single hung writer stalls every future read & write,13,PASSED,security
46,T02,lib/auth/server.ts,19,27,LOW,low,"OAuth server parses req.url with base ""http://localhost"" while the server binds 127.0.0.1 â€” harmless today but widens the surface for future host-header handling changes",24,PASSED,security
47,T03,lib/accounts.ts,728,733,CRITICAL,high,In-memory auth-failure increment race across shared refresh tokens,,PASSED,rotation
48,T03,lib/accounts.ts,851,862,MEDIUM,high,"Active index reset to -1 after removing the current account leaves a non-codex family ""clawless""",,PASSED,rotation
49,T03,lib/accounts.ts,880,896,MEDIUM,high,Identity-normalization asymmetry between storage dedupe and in-memory removeAccountsWithSameRefreshToken,,PASSED,rotation
50,T03,,,,HIGH,medium,Hybrid scoring amplifies thrash under correlated rate-limits,,VERIFICATION_FAILED,rotation
51,T03,lib/accounts.ts,598,613,MEDIUM,high,Hybrid selection ignores current/enabled/cooldown states for *all* accounts when bypassing eligibility,,PASSED,rotation
52,T03,lib/circuit-breaker.ts,128,143,LOW,medium,Circuit-breaker eviction during half-open destroys failure history for the in-flight request,,PASSED,rotation
53,T03,,,,MEDIUM,high,markRateLimitedWithReason does not update the health tracker; only recordRateLimit does,,VERIFICATION_FAILED,rotation
54,T03,lib/accounts.ts,483,498,MEDIUM,high,setActiveIndex accepts any in-range non-disabled account but bypasses rate-limit/cooldown checks,,PASSED,rotation
55,T03,lib/accounts.ts,399,405,MEDIUM,high,getActiveIndexForFamily silently rewrites -1 to 0 without updating the stored pointer,,PASSED,rotation
56,T03,lib/rotation.ts,63,68,LOW,medium,Passive health recovery is time-based with Date.now() â€” susceptible to clock skew/suspend,,PASSED,rotation
57,T03,lib/accounts/rate-limits.ts,45,54,MEDIUM,medium,clearExpiredRateLimits mutates the object during iteration of its own keys,246,PASSED,rotation
58,T03,lib/accounts.ts,571,592,MEDIUM,high,getCurrentOrNextForFamilyHybrid fast-path skips the token-bucket check,51,PASSED,rotation
59,T03,lib/rotation.ts,382,385,MEDIUM,high,addJitter uses symmetric jitter and clamps to 0 â€” can produce 0 delay from a non-zero base,,PASSED,rotation
60,T03,lib/rotation.ts,278,286,LOW,high,Docstring contradicts default freshnessWeight,,PASSED,rotation
61,T03,,,,LOW,medium,getTokens/getScore return maxTokens/maxScore for unseen accounts â€” mutes cold-start signal,,VERIFICATION_FAILED,rotation
62,T03,lib/accounts.ts,483,498,LOW,high,cursorByFamily is not rebased after setActiveIndex for inequality vs active pointer,54,PASSED,rotation
63,T04,lib/request/fetch-helpers.ts,624,648,MEDIUM,high,Streaming path skips per-read stall timeout; only absolute fetchTimeoutMs applies,,PASSED,request
64,T04,lib/prompts/codex.ts,340,364,MEDIUM,high,fetchAndPersistInstructions throws HTTP 304 when cache file is missing,,PASSED,request
65,T04,index.ts,1698,1719,HIGH,medium,Per-request retry budget exhausts before account rotation completes under correlated failures,,VERIFICATION_FAILED,request
66,T04,lib/request/response-handler.ts,83,143,MEDIUM,medium,SSE parser splits on line boundaries only; multi-line data: payloads are dropped,71,PASSED,request
67,T04,lib/request/response-handler.ts,96,143,MEDIUM,medium,Partial trailing SSE event at chunk boundary is discarded silently,,VERIFICATION_FAILED,request
68,T04,lib/request/response-handler.ts,298,318,LOW,medium,"isEmptyResponse flags reasoning-only responses as empty, triggering retries on valid completions",,PASSED,request
69,T04,lib/request/rate-limit-backoff.ts,29,93,LOW,medium,Rate-limit-backoff state persists across rotation; thrash-back incurs up to MAX_BACKOFF_MS,,PASSED,request
70,T04,index.ts,2184,2250,LOW,medium,Model-family drift on mid-session fallback updates modelFamily but not the transformation body's include / reasoning,,PASSED,request
71,T04,lib/request/response-handler.ts,107,122,MEDIUM,high,parseSseStream misses response.incomplete-with-null-response JSON error extraction,,PASSED,request
72,T04,lib/request/helpers/model-map.ts,182,197,LOW,medium,getNormalizedModel case-insensitive fallback scans entire model map linearly per call,,PASSED,request
73,T04,lib/prompts/opencode-codex.ts,130,149,LOW,medium,opencode-codex.ts fallback-source fetch has no per-source timeout,,PASSED,request
74,T04,lib/request/response-handler.ts,7,8,LOW,high,DEFAULT_STREAM_STALL_TIMEOUT_MS and MAX_SSE_SIZE are module-private constants,,PASSED,request
75,T04,lib/request/helpers/tool-utils.ts,30,46,LOW,medium,cleanupToolDefinitions uses JSON round-trip for deep clone on every request,,PASSED,request
76,T04,lib/request/fetch-helpers.ts,48,54,LOW,high,DEFAULT_UNSUPPORTED_CODEX_FALLBACK_CHAIN hard-coded in fetch-helpers,7,PASSED,request
77,T04,lib/prompts/codex.ts,309,316,LOW,medium,Bundled fallback codex-instructions.md may not resolve in dist build,,PASSED,request
78,T04,lib/prompts/codex-opencode-bridge.ts,80,91,LOW,medium,MAX_MANIFEST_TOOLS = 32 silently truncates tool manifest,,PASSED,request
79,T04,lib/prompts/codex.ts,259,287,LOW,medium,"Stale-while-revalidate bumps memory timestamp to now, serving potentially very stale content",,PASSED,request
80,T04,lib/request/fetch-helpers.ts,233,238,LOW,medium,isEntitlementError regex does not cover all current Codex entitlement codes,,PASSED,request
81,T05,lib/storage.ts,1231,1256,MEDIUM,high,Imported accounts JSON has no schema validation before merge,,PASSED,types
82,T05,lib/auth/auth.ts,115,130,HIGH,medium,JWT payload parsed without runtime shape validation,18,PASSED,types
83,T05,lib/config.ts,66,107,MEDIUM,high,Plugin config userConfig spread as Partial<PluginConfig> despite known validation errors,,PASSED,types
84,T05,lib/storage.ts,651,655,MEDIUM,high,as unknown as used to defeat V1/V3 union after migration decision,,PASSED,types
85,T05,,,,MEDIUM,high,Request/response bodies cast to typed shapes without Zod validation,,VERIFICATION_FAILED,types
86,T05,lib/auth/login-runner.ts,331,348,MEDIUM,high,Credential merge uses || where ?? is the correct operator,16,PASSED,types
87,T05,lib/schemas.ts,108,126,LOW,medium,No branded types for credential-bearing strings,,PASSED,types
88,T05,lib/accounts/rate-limits.ts,9,43,MEDIUM,high,RateLimitState index signature drops the QuotaKey invariant,246,PASSED,types
89,T05,tsconfig.json,1,25,LOW,medium,"exactOptionalPropertyTypes disabled allows undefined to masquerade as ""absent""",,PASSED,types
90,T05,lib/request/helpers/input-utils.ts,251,256,LOW,high,as unknown as InputItem in injectMissingToolOutputs hides missing role,,PASSED,types
91,T05,tsconfig.json,1,36,LOW,medium,Enable noUnusedLocals in tsconfig to stop relying solely on ESLint,,VERIFICATION_FAILED,types
92,T05,eslint.config.js,21,27,LOW,high,"@typescript-eslint/no-non-null-assertion is warn-only, not error",,PASSED,types
93,T05,,,,LOW,medium,as unknown as in fetch-helpers log adapters should be a one-liner helper,,VERIFICATION_FAILED,types
94,T05,lib/runtime-contracts.ts,1,28,LOW,high,"runtime-contracts.ts misnamed â€” file holds constants, not type contracts",4,PASSED,types
95,T06,lib/shutdown.ts,35,45,MEDIUM,high,Graceful shutdown never flushes debounced account save; in-flight mutations are silently dropped on SIGINT/SIGTERM,,PASSED,filesystem
96,T06,lib/storage.ts,810,888,MEDIUM,high,"loadAccountsInternal returns null on JSON.parse failure, silently masking data loss on a truncated or corrupt accounts file",,PASSED,filesystem
97,T06,lib/storage.ts,914,941,HIGH,high,Atomic-write failure path can leak the .tmp file when unlink itself fails (EBUSY from the same AV that caused the rename failure),96,PASSED,filesystem
98,T06,lib/storage/paths.ts,55,76,HIGH,medium,findProjectRoot treats git worktrees inconsistently; .git as FILE is accepted by existsSync but the downstream .gitignore writer at storage.ts:251 re-checks .git existence without matching the worktree semantics,,VERIFICATION_FAILED,filesystem
99,T06,lib/storage/paths.ts,37,45,LOW,medium,"Project key uses first 12 hex chars (48 bits) of SHA-256, with measurable collision probability for very large project counts and zero collision-resolution",,PASSED,filesystem
100,T06,lib/storage.ts,899,899,HIGH,high,Parent directories for account storage are created without an explicit mode; on POSIX systems the 0o600 file sits under a 0o755 directory readable by other local users,,VERIFICATION_FAILED,filesystem
101,T06,lib/recovery/storage.ts,243,266,MEDIUM,high,"prependThinkingPart reuses a fixed file id, so calling it twice overwrites the first synthetic part and produces silent double-write with no audit",,PASSED,filesystem
102,T06,,,,HIGH,medium,"Recovery writes use synchronous fs (writeFileSync, mkdirSync, unlinkSync) with no temp-file + rename pattern; a crash mid-write yields partial files that readParts will catch {} continue past, silently dropping corrupted data",,VERIFICATION_FAILED,filesystem
103,T06,lib/storage/paths.ts,23,29,MEDIUM,high,"normalizeProjectPath lowercases the entire path on Windows before hashing, but non-Windows case-sensitive filesystems hash raw â€” a user who renames /home/alice/Project â†’ /home/alice/project (case-only rename on macOS HFS+/APFS) gets a different project key and loses account context",99,PASSED,filesystem
104,T06,lib/storage/paths.ts,90,109,MEDIUM,high,"resolvePath allows any path under cwd() or tmpdir(), which bypasses the nominal home-directory restriction when opencode is run from the user's project root",,PASSED,filesystem
105,T06,lib/storage.ts,1223,1229,MEDIUM,high,createTimestampedBackupPath does not call fs.mkdir on the backup dir â€” the first-time backup write relies on every downstream writer doing it â€” and backups accumulate with no retention,,VERIFICATION_FAILED,filesystem
106,T06,lib/storage.ts,243,271,MEDIUM,high,ensureGitignore reads and writes .gitignore outside the storage mutex and can race with concurrent plugin invocations in the same project,19,PASSED,filesystem
107,T06,lib/storage.ts,211,228,MEDIUM,high,"Pre-import backup temp-file name includes Math.random().slice(2,8) + Date.now() with â‰ˆ 36 bits of entropy â€” the same concern as the main temp-file but for a separate write path",13,PASSED,filesystem
108,T06,lib/storage.ts,188,209,MEDIUM,high,writeFileWithTimeout uses AbortSignal on fs.writeFile but does not delete the partially-written file when the timeout fires â€” on Windows this leaks a tempPath,13,PASSED,filesystem
109,T06,lib/storage.ts,164,186,MEDIUM,high,renameWithWindowsRetry fixed 5-attempt ceiling with max backoff 160 ms may exhaust during long AV scans; caller sees EBUSY with a hint but no queued retry,13,PASSED,filesystem
110,T06,lib/storage.ts,754,887,MEDIUM,medium,"loadGlobalAccountsFallback seeds project storage from global on first access but does not lock the global store, allowing another plugin instance to mutate global mid-copy",96,PASSED,filesystem
111,T06,,,,MEDIUM,medium,"Recovery synchronous I/O blocks event loop; long session dirs with many messages cause perceptible plugin-hang on slow disks (network FS, encrypted home)",,VERIFICATION_FAILED,filesystem
112,T06,lib/recovery/constants.ts,14,26,MEDIUM,high,"MESSAGE_STORAGE and PART_STORAGE are module-level constants resolved once at import time; changing XDG_DATA_HOME or APPDATA at runtime has no effect, blocking test isolation and multi-user-per-session scenarios",,PASSED,filesystem
113,T06,lib/storage.ts,1309,1326,MEDIUM,high,exportAccounts default force=true writes to an arbitrary path the user passed with no confirmation â€” the filesystem correctness concern is that the destination dir is created implicitly,17,PASSED,filesystem
114,T06,lib/recovery/storage.ts,24,28,LOW,high,"generatePartId combines Date.now().toString(16) and Math.random().toString(36).substring(2,10) for a total â‰ˆ 40 bits of entropy â€” collision risk is negligible but pattern is inconsistent with the cryptographic entropy used elsewhere",,PASSED,filesystem
115,T06,,,,LOW,high,"validatePathId is inconsistent across recovery callers â€” some paths validate (readMessages via getMessageDir, readParts), others skip (injectTextPart, prependThinkingPart, stripThinkingParts)",,VERIFICATION_FAILED,filesystem
116,T06,lib/storage.ts,1203,1212,LOW,medium,"formatBackupTimestamp uses local-time components, not UTC, making sorted backup listings non-deterministic across DST transitions",81,PASSED,filesystem
117,T06,lib/storage.ts,1214,1221,LOW,high,"sanitizeBackupPrefix replaces invalid chars with - but does not bound total length, allowing a 10 KB prefix to land in the filename",81,PASSED,filesystem
118,T06,lib/storage.ts,980,992,LOW,medium,"clearAccounts silently swallows all non-ENOENT unlink errors, losing visibility into permission issues on the account file",,PASSED,filesystem
119,T06,lib/shutdown.ts,18,29,LOW,high,"shutdown.runCleanup catches all cleanup errors silently; if flushPendingSave were added, its I/O failure would be invisible",95,PASSED,filesystem
120,T07,lib/accounts.ts,945,966,MEDIUM,high,Concurrent rotate-and-save loses writes through the 500 ms debounce window â€” saveToDiskDebounced,,PASSED,concurrency
121,T07,lib/proactive-refresh.ts,206,215,HIGH,high,applyRefreshResult mutates account state without persisting; 500 ms debounce window loses rotated refresh token on crash,14,PASSED,concurrency
122,T07,lib/rotation.ts,186,208,LOW,medium,TokenBucketTracker.tryConsume is a non-atomic read-modify-write; concurrent consumers interleave,,PASSED,concurrency
123,T07,,,,HIGH,high,OAuth callback server stores the authorization code in a single slot server._lastCode â€” concurrent logins collide with PKCE verifier mismatch,,VERIFICATION_FAILED,concurrency
124,T07,lib/refresh-queue.ts,258,279,MEDIUM,high,Refresh-queue stale eviction races with the in-flight promise resolver â€” evicted entry still resolves later,30,PASSED,concurrency
125,T07,,,,MEDIUM,high,tokenRotationMap cleanup in the finally block uses key-only deletion; rotation mapping leaks on concurrent rotation,,VERIFICATION_FAILED,concurrency
126,T07,lib/circuit-breaker.ts,128,143,MEDIUM,medium,Circuit-breaker eviction during half-open state resets safety,52,PASSED,concurrency
127,T07,lib/accounts.ts,728,733,MEDIUM,high,incrementAuthFailures shares a single counter across all account variants using the same refresh token,47,PASSED,concurrency
128,T07,lib/refresh-queue.ts,121,167,MEDIUM,medium,Proactive refresh vs on-demand refresh collision ordering,29,PASSED,concurrency
129,T07,lib/accounts.ts,219,276,LOW,medium,Startup race: hydrateFromCodexCli runs async; user auth login during hydration overwrites in-memory state,,PASSED,concurrency
130,T07,lib/shutdown.ts,18,29,MEDIUM,high,Shutdown race: runCleanup does not know about AccountManager.flushPendingSave,95,PASSED,concurrency
131,T07,lib/circuit-breaker.ts,35,55,LOW,medium,CircuitBreaker.canExecute increments halfOpenAttempts before the caller has actually executed,,PASSED,concurrency
132,T07,,,,LOW,low,shutdownRegistered boolean is not atomic across cluster-mode,,VERIFICATION_FAILED,concurrency
133,T08,lib/request/response-handler.ts,162,176,LOW,medium,Quadratic string concatenation of full SSE stream body,,PASSED,performance
134,T08,lib/request/response-handler.ts,170,176,HIGH,medium,MAX_SSE_SIZE enforced after concatenation allows transient memory spike,133,PASSED,performance
135,T08,lib/accounts.ts,945,966,MEDIUM,high,saveToDiskDebounced starvation under sustained activity,120,PASSED,performance
136,T08,,,,MEDIUM,high,CircuitBreaker pruneFailures allocates new array on every success and failure,,VERIFICATION_FAILED,performance
137,T08,index.ts,1617,1658,MEDIUM,high,Double JSON.parse of request body on the legacy fallback path,,VERIFICATION_FAILED,performance
138,T08,,,,MEDIUM,high,Logger regex sanitization runs on every log message with no fast path,,VERIFICATION_FAILED,performance
139,T08,,,,MEDIUM,high,Storage serializes with pretty-print indent on every save,,VERIFICATION_FAILED,performance
140,T08,lib/accounts.ts,571,623,MEDIUM,medium,Hybrid account selection triple-iterates accounts per request,51,PASSED,performance
141,T08,lib/rotation.ts,186,208,MEDIUM,high,TokenBucketTracker rebuilds consumptions array on every tryConsume,122,PASSED,performance
142,T08,index.ts,1525,1537,MEDIUM,medium,Prewarm fires unbounded parallel GitHub fetches on first loader call,,VERIFICATION_FAILED,performance
143,T08,lib/request/fetch-helpers.ts,366,395,LOW,high,"URL parsed twice per request (once in extract, once in rewrite)",,PASSED,performance
144,T08,lib/request/request-transformer.ts,40,165,LOW,high,Normalize model runs 16 string probes per request with no memoisation,,PASSED,performance
145,T08,index.ts,763,830,LOW,medium,hydrateEmails serializes chunks of 3 with implicit round trips,,PASSED,performance
146,T08,,,,LOW,medium,Prompt cache FIFO eviction (labelled LRU) never triggers for realistic family counts,,VERIFICATION_FAILED,performance
147,T08,lib/logger.ts,331,391,LOW,medium,Scoped logger timers leak on unclosed time() calls,,PASSED,performance
148,T08,lib/storage.ts,155,175,LOW,medium,Windows atomic-rename retry base delay doubles up to ~160 ms per save,13,PASSED,performance
149,T09,lib/audit.ts,145,176,MEDIUM,high,Audit log infrastructure present but never invoked,,PASSED,observability
150,T09,lib/audit.ts,173,175,HIGH,high,Audit log writes silently discard errors at outer layer,149,PASSED,observability
151,T09,lib/logger.ts,29,34,LOW,medium,TOKEN_PATTERNS does not mask opaque refresh tokens,,PASSED,observability
152,T09,lib/logger.ts,127,140,MEDIUM,high,Correlation ID not propagated across async task boundaries,,PASSED,observability
153,T09,lib/request/response-handler.ts,215,220,HIGH,high,"SSE ""no final response"" logged at warn when it breaks the session",,PASSED,observability
154,T09,lib/storage.ts,826,830,MEDIUM,high,Storage migration persist failure logged at warn masks data-loss risk,96,PASSED,observability
155,T09,lib/accounts.ts,150,154,MEDIUM,high,User-visible failure in hydrateFromCodexCli logs at debug,15,PASSED,observability
156,T09,lib/recovery.ts,147,153,MEDIUM,high,Silent return from recovery failure paths,178,PASSED,observability
157,T09,lib/request/fetch-helpers.ts,651,657,MEDIUM,medium,safeReadBody masks body-read errors as empty body,63,PASSED,observability
158,T09,lib/auto-update-checker.ts,25,33,LOW,medium,"getCurrentVersion returns ""0.0.0"" on read failure",,PASSED,observability
159,T09,lib/logger.ts,254,291,MEDIUM,high,logRequest per-request file dumps are unbounded,,PASSED,observability
160,T09,lib/audit.ts,14,24,MEDIUM,medium,audit.ts flush queue retains items on write failure unbounded,302,PASSED,observability
161,T09,index.ts,345,372,MEDIUM,high,Metrics are process-local and volatile,,PASSED,observability
162,T09,lib/health.ts,96,107,LOW,medium,"Health formatter hides ""all closed"" state",,PASSED,observability
163,T09,lib/parallel-probe.ts,118,132,MEDIUM,high,Parallel probe failures log only the winner,,PASSED,observability
164,T09,index.ts,1684,1690,LOW,medium,Correlation ID format is threadId+Date.now() â€” not globally unique,,PASSED,observability
165,T09,index.ts,2485,2500,LOW,medium,"No aggregated ""rotation exhausted"" log at error level",,PASSED,observability
166,T09,lib/logger.ts,316,320,LOW,high,logError silenced on stderr by default,,PASSED,observability
167,T09,lib/health.ts,103,103,LOW,medium,Closed circuits invisible in health report,162,PASSED,observability
168,T09,lib/refresh-queue.ts,224,225,LOW,medium,Refresh-queue lastFailureReason not masked,,PASSED,observability
169,T09,lib/logger.ts,186,200,LOW,high,No timestamp in console log output,152,PASSED,observability
170,T09,lib/logger.ts,146,184,LOW,medium,No structured event discriminator on log payloads,152,PASSED,observability
171,T09,lib/auth/auth.ts,120,130,LOW,medium,JWT decode silent null return loses diagnostic,18,PASSED,observability
172,T09,lib/auth/browser.ts,92,96,LOW,medium,browser.ts auto-open failure silent,,PASSED,observability
173,T10,lib/errors.ts,33,165,HIGH,high,Typed error hierarchy is shelf-ware,,PASSED,errors
174,T10,lib/circuit-breaker.ts,35,82,HIGH,high,Circuit breaker never gates requests,,VERIFICATION_FAILED,errors
175,T10,index.ts,5995,6153,HIGH,high,codex-remove tool has no confirmation step,,PASSED,errors
176,T10,lib/storage.ts,1309,1326,HIGH,high,exportAccounts(force=true) default silently overwrites existing files,17,PASSED,errors
177,T10,lib/storage.ts,1335,1461,HIGH,medium,importAccounts(backupMode='none') library default exposes callers to silent data loss,17,PASSED,errors
178,T10,lib/recovery.ts,119,154,HIGH,high,"Recovery tool-result injection swallows API errors; caller cannot distinguish ""no tools"" from ""API failed""",,PASSED,errors
179,T10,lib/errors.ts,87,92,MEDIUM,high,.retryable field is declared but never consumed in production,173,PASSED,errors
180,T10,lib/storage.ts,99,111,MEDIUM,high,"StorageError lives in lib/storage.ts:99, but AGENTS.md:72 and lib/AGENTS.md:83 point callers to lib/errors.ts",,VERIFICATION_FAILED,errors
181,T10,index.ts,5057,5154,MEDIUM,high,No diagnostics-snapshot export for bug reports; codex-doctor prints to console only,223,PASSED,errors
182,T10,lib/recovery.ts,63,85,LOW,medium,Recovery classifier routes on error-message substrings; brittle to upstream wording changes,,PASSED,errors
183,T10,lib/recovery/storage.ts,62,87,MEDIUM,high,Recovery storage readers silently discard corruption,,PASSED,errors
184,T10,lib/recovery.ts,222,241,MEDIUM,high,"resumeSession swallows its prompt error â†’ user sees ""recovered"" toast on half-recovery",,PASSED,errors
185,T10,lib/context-overflow.ts,55,112,LOW,medium,Context-overflow synthetic response drops upstream diagnostics,,PASSED,errors
186,T10,lib/errors.ts,9,16,MEDIUM,high,ErrorCode enum lacks codes for actively-used error domains,173,PASSED,errors
187,T10,lib/recovery.ts,382,390,MEDIUM,high,Recovery toast failure is silently swallowed,,PASSED,errors
188,T10,lib/constants.ts,67,71,MEDIUM,high,User-facing auth error omits remediation step,,VERIFICATION_FAILED,errors
189,T10,index.ts,2991,2991,MEDIUM,high,Internal invariants leak as generic Error to user tool-call results,,VERIFICATION_FAILED,errors
190,T10,lib/recovery.ts,346,346,LOW,medium,Session-abort error silently swallowed before recovery,,PASSED,errors
191,T10,lib/storage.ts,630,635,MEDIUM,low,"V2 storage file silently discarded; no user-visible ""legacy file detected"" path",200,PASSED,errors
192,T10,lib/errors.ts,23,27,LOW,high,"ErrorCode type accepts any string, weakening discriminator",173,PASSED,errors
193,T10,lib/errors.ts,53,56,LOW,high,HTTP header case-insensitivity lost in CodexApiError.headers,173,PASSED,errors
